paymentDelta,missedCount,paymentID,loanID
0,0,45422765_012019,45422765
0,1,45422765_122019,45422765
0,1,45422765_102020,45422765
0,1,45422765_122020,45422765
0,6,45422765_012018,45422765
0,1,45422765_012020,45422765
0,0,45422765_122018,45422765
0,1,45422765_102019,45422765
0,0,45422765_102018,45422765
0,8,45422765_122017,45422765
0,1,45422765_012021,45422765
0,1,45422765_112019,45422765
0,1,45422765_092020,45422765
0,1,45422765_082019,45422765
0,0,45422765_082018,45422765
0,0,45422765_092021,45422765
0,1,45422765_112020,45422765
0,1,45422765_062020,45422765
0,1,45422765_072019,45422765
0,0,45422765_072018,45422765
0,0,45422765_062021,45422765
0,1,45422765_062019,45422765
0,1,45422765_072020,45422765
0,0,45422765_072021,45422765
0,0,45422765_062018,45422765
0,0,45422765_112018,45422765
0,1,45422765_092019,45422765
0,1,45422765_082020,45422765
0,0,45422765_082021,45422765
0,0,45422765_092018,45422765
0,10,45422765_112017,45422765
0,0,45422765_032021,45422765
0,4,45422765_022018,45422765
0,1,45422765_022019,45422765
0,1,45422765_032020,45422765
0,14,45422765_092017,45422765
0,2,45422765_032018,45422765
0,0,45422765_022021,45422765
0,1,45422765_022020,45422765
0,1,45422765_032019,45422765
0,12,45422765_102017,45422765
0,0,45422765_052018,45422765
0,0,45422765_042021,45422765
0,1,45422765_042020,45422765
0,1,45422765_052019,45422765
0,0,45422765_052021,45422765
0,0,45422765_042018,45422765
0,1,45422765_042019,45422765
0,1,45422765_052020,45422765
8,12,45476383_012019,45476383
11,19,45476383_122019,45476383
10,24,45476383_102020,45476383
12,27,45476383_122020,45476383
1,11,45476383_012018,45476383
11,19,45476383_012020,45476383
8,11,45476383_122018,45476383
10,19,45476383_102019,45476383
8,10,45476383_102018,45476383
0,12,45476383_122017,45476383
13,28,45476383_012021,45476383
10,19,45476383_112019,45476383
9,22,45476383_092020,45476383
9,17,45476383_082019,45476383
8,10,45476383_082018,45476383
16,31,45476383_092021,45476383
11,26,45476383_112020,45476383
11,19,45476383_062020,45476383
9,16,45476383_072019,45476383
7,9,45476383_072018,45476383
15,31,45476383_062021,45476383
9,15,45476383_062019,45476383
10,19,45476383_072020,45476383
15,31,45476383_072021,45476383
6,8,45476383_062018,45476383
8,10,45476383_112018,45476383
9,18,45476383_092019,45476383
9,20,45476383_082020,45476383
15,31,45476383_082021,45476383
8,10,45476383_092018,45476383
0,13,45476383_112017,45476383
14,31,45476383_032021,45476383
2,10,45476383_022018,45476383
9,13,45476383_022019,45476383
11,19,45476383_032020,45476383
0,16,45476383_092017,45476383
3,9,45476383_032018,45476383
13,29,45476383_022021,45476383
11,19,45476383_022020,45476383
9,13,45476383_032019,45476383
0,14,45476383_102017,45476383
5,7,45476383_052018,45476383
15,33,45476383_042021,45476383
11,19,45476383_042020,45476383
9,14,45476383_052019,45476383
15,32,45476383_052021,45476383
4,8,45476383_042018,45476383
9,13,45476383_042019,45476383
11,19,45476383_052020,45476383
0,0,45422752_012019,45422752
0,0,45422752_122019,45422752
0,0,45422752_102020,45422752
0,0,45422752_122020,45422752
0,0,45422752_012018,45422752
0,0,45422752_012020,45422752
0,0,45422752_122018,45422752
0,0,45422752_102019,45422752
0,0,45422752_102018,45422752
0,2,45422752_122017,45422752
0,0,45422752_012021,45422752
0,0,45422752_112019,45422752
0,0,45422752_092020,45422752
0,0,45422752_082019,45422752
0,0,45422752_082018,45422752
0,0,45422752_092021,45422752
0,0,45422752_112020,45422752
0,0,45422752_062020,45422752
0,0,45422752_072019,45422752
0,0,45422752_072018,45422752
0,0,45422752_062021,45422752
0,0,45422752_062019,45422752
0,0,45422752_072020,45422752
0,0,45422752_072021,45422752
0,0,45422752_062018,45422752
0,0,45422752_112018,45422752
0,0,45422752_092019,45422752
0,0,45422752_082020,45422752
0,0,45422752_082021,45422752
0,0,45422752_092018,45422752
0,4,45422752_112017,45422752
0,0,45422752_032021,45422752
0,0,45422752_022018,45422752
0,0,45422752_022019,45422752
0,0,45422752_032020,45422752
0,8,45422752_092017,45422752
0,0,45422752_032018,45422752
0,0,45422752_022021,45422752
0,0,45422752_022020,45422752
0,0,45422752_032019,45422752
0,6,45422752_102017,45422752
0,0,45422752_052018,45422752
0,0,45422752_042021,45422752
0,0,45422752_042020,45422752
0,0,45422752_052019,45422752
0,0,45422752_052021,45422752
0,0,45422752_042018,45422752
0,0,45422752_042019,45422752
0,0,45422752_052020,45422752
